Subject ID,Raters Group,Completed by,Rater Name,"Q1_AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Listens to patients and their families’ concerns and responds to them thoroughly. _First Scale","Q1_AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Treats patients with dignity irrespective of their religion, culture, age, race, sexual orientation, gender and socio-economic status._First Scale","Q1_AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Respects patients’ confidentiality (i.e. does not discuss confidential patient information in areas where others can overhear the conversation like hallways, elevators, coffee shops etc.)._First Scale","Q1_AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Takes time to explain to patients their medical condition, treatment options, methods utilized and outcomes._First Scale","Q1_AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Treats healthcare workers with dignity irrespective of their religion, culture, age, race, sexual orientation and gender. _First Scale","Q1_AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Uses respectful language with other healthcare workers (i.e: avoids abusive language, offensive comments, racial or ethnic slurs, threats of violence and foul or rude intimidating language). _First Scale","Q1_AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Responds in timely fashion to phone calls and paging regarding patient care._First Scale","Q1_AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Arrives on time to scheduled appointments (i.e. clinic, OR, rounds, shift etc…)._First Scale","Q1_AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Receptive to the suggestions and concerns of other healthcare coworkers (both physician and non-physician health providers)._First Scale","Q1_AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Communicates directly and clearly with healthcare workers (both physician and non-physician health providers) about patient care._First Scale","Q2_Comments
",Fillout Date (mm/dd/yy)
PHYS_188031344e32,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,D/A,07/25/23 09:49 AM
PHYS_05d7d01a4662,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,Always,Always,Always,Always,Always,Always,Most of the time,Hardly ever,Always,Always,D/A,07/25/23 09:50 AM
PHYS_9ae8114ad5ec,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/25/23 09:50 AM
PHYS_3ed9f4f595ea,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/25/23 09:50 AM
PHYS_155ddef11442,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/25/23 09:51 AM
PHYS_f24b5ac4ffcc,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/25/23 09:51 AM
PHYS_474fe7a78d1e,Hospital Staff,PHYS_ccac8827f777,PHYS_31fc34d3622c,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/25/23 09:51 AM
PHYS_0f7dbc32ada3,Faculty Self-Evaluation,PHYS_0f7dbc32ada3,PHYS_0f7dbc32ada3,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/10/2023 15:13
PHYS_b17c032f113b,Faculty Self-Evaluation,PHYS_b17c032f113b,PHYS_c2eef4b6911f,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Always available, friendly and professional.",06/15/23 09:37 AM
PHYS_1d0fc2c6d865,Hospital Staff,PHYS_1f00a0352420,PHYS_3eea35e587e4,Most of the time,Always,Always,Most of the time,Always,Always,Always,Most of the time,Always,Always,D/A,07/18/23 09:15 PM
PHYS_0f6500b55151,Hospital Staff,PHYS_1f00a0352420,PHYS_3eea35e587e4,Always,Always,Always,Always,Always,Always,Most of the time,Most of the time,Always,Always,D/A,07/18/23 09:16 PM
PHYS_d8f8cc7a2c53,Hospital Staff,PHYS_1f00a0352420,PHYS_3eea35e587e4,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/18/23 09:16 PM
PHYS_4b557f2781cb,Hospital Staff,PHYS_1f00a0352420,PHYS_3eea35e587e4,Always,Always,Always,Always,Always,Most of the time,Always,Always,Always,Always,D/A,07/18/23 09:16 PM
PHYS_a7c9ab176f48,Hospital Staff,PHYS_1f00a0352420,PHYS_3eea35e587e4,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/18/23 09:16 PM
PHYS_ded69ffc7130,Hospital Staff,PHYS_1f00a0352420,PHYS_3eea35e587e4,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/18/23 09:17 PM
PHYS_2cb7c4ef9c2d,Hospital Staff,PHYS_ec207a007b82,PHYS_eb745e47b3a3,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,Always,D/A,07/19/23 11:02 AM
PHYS_94bbf5d2e8eb,Hospital Staff,PHYS_ec207a007b82,PHYS_eb745e47b3a3,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,Always,D/A,07/19/23 11:03 AM
PHYS_56a6b961f2f5,Hospital Staff,PHYS_ec207a007b82,PHYS_eb745e47b3a3,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/19/23 11:03 AM
PHYS_12590e0e5875,Hospital Staff,PHYS_30edc457c177,PHYS_364125ed2ec4,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/22/23 01:27 AM
PHYS_eb066433ad96,Hospital Staff,PHYS_30edc457c177,PHYS_364125ed2ec4,Always,Always,Always,Always,Most of the time,Most of the time,Always,Always,Most of the time,Always,D/A,07/22/23 01:31 AM
PHYS_99cce52880ad,Hospital Staff,PHYS_30edc457c177,PHYS_364125ed2ec4,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,08/30/23 11:50 AM
PHYS_dfc6899e9a0d,Hospital Staff,PHYS_30edc457c177,PHYS_364125ed2ec4,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Always,Always,Always,Always,Always,D/A,08/30/23 11:50 AM
PHYS_0d0e3dd63767,Hospital Staff,PHYS_30edc457c177,PHYS_364125ed2ec4,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,08/30/23 11:56 AM
PHYS_1688b5a58eea,Hospital Staff,PHYS_30edc457c177,PHYS_364125ed2ec4,Always,Always,Always,Always,Always,Always,Most of the time,Most of the time,Most of the time,Most of the time,D/A,08/30/23 11:57 AM
PHYS_88588d0b818d,Hospital Staff,PHYS_30edc457c177,PHYS_364125ed2ec4,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/22/23 01:29 AM
PHYS_a7c9ab176f48,Hospital Staff,PHYS_3d72efde18bf,PHYS_0a8583ddfc16,Most of the time,Always,Always,Most of the time,Always,Always,Most of the time,Always,Most of the time,Most of the time,D/A,07/25/23 03:45 PM
PHYS_abc008f2ef9c,Medical Staff,PHYS_422053d61c0f,PHYS_999155e564ab,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,08/08/2023 08:26
PHYS_088c3a358426,Medical Staff,PHYS_422053d61c0f,PHYS_999155e564ab,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,08/08/2023 08:26
PHYS_ec334b6ce571,Medical Staff,PHYS_422053d61c0f,PHYS_999155e564ab,Most of the time,Always,Always,Always,Always,Always,Always,Most of the time,Always,Always,D/A,08/08/2023 08:27
PHYS_72576b499f11,Medical Staff,PHYS_422053d61c0f,PHYS_999155e564ab,Sometimes,Most of the time,Most of the time,Most of the time,Always,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,D/A,08/08/2023 08:30
PHYS_23f15da80bc1,Medical Staff,PHYS_422053d61c0f,PHYS_999155e564ab,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,08/08/2023 08:31
PHYS_04f7a28faaf6,Medical Staff,PHYS_eeaabce05e0b,PHYS_350453055d00,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,Always,"Dr Moukhaiber is an amazing attending, her rounds in the PICU are organized and thorough.
She is always accessible and available to answer our queries and to address our concerns. 
",07/13/23 08:27 PM
PHYS_0f5fcee5afc6,Medical Staff,PHYS_eeaabce05e0b,PHYS_350453055d00,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Dr. Majdalani is a wonderful attending who shows a lot of concern for the patients and the staff. 
Plans are always made for the patient&#x27;s benefit during her rounds in the early morning.
She support us in every circumstance, pays attention to our issues, responds to them, and works to find solutions.
",07/13/23 09:07 PM
PHYS_2a2d2e824a25,Medical Staff,PHYS_eeaabce05e0b,PHYS_350453055d00,Always,Always,Always,Always,Always,Always,Most of the time,Most of the time,Most of the time,Always,Dr Ismail is always present when a support is needed. ,07/13/23 08:36 PM
PHYS_753edaf7505f,Hospital Staff,PHYS_7481088b0fcb,PHYS_cd77a51ca236,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,D/A,07/10/2023 16:14
PHYS_78f68b679b71,Hospital Staff,PHYS_7481088b0fcb,PHYS_cd77a51ca236,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,D/A,07/10/2023 16:18
PHYS_32af8107edf8,Hospital Staff,PHYS_7481088b0fcb,PHYS_cd77a51ca236,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,D/A,07/10/2023 16:20
PHYS_f6151b43d937,Hospital Staff,PHYS_7481088b0fcb,PHYS_cd77a51ca236,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,D/A,07/10/2023 16:20
PHYS_4fc218f3c90d,Hospital Staff,PHYS_7481088b0fcb,PHYS_cd77a51ca236,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,D/A,07/10/2023 16:16
PHYS_b82dd668e107,Hospital Staff,PHYS_7481088b0fcb,PHYS_cd77a51ca236,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,D/A,07/10/2023 16:21
PHYS_521a6b7dc394,Hospital Staff,PHYS_7481088b0fcb,PHYS_cd77a51ca236,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,D/A,07/10/2023 16:22
PHYS_747c833974d5,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,,Always,Always,,Hardly ever,Hardly ever,Most of the time,Most of the time,Sometimes,Sometimes,"Dr Sbaity&#x27;s conduct can be borderline unprofessional, if not downright disrespectful and degrading at times. Working with her is emotionally draining. She is a good academic and a good surgeon, if only her attitude and conduct with the residents could be improved. ",08/02/2023 14:14
PHYS_d7f2fcf5aab1,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,Always,Always,Always,,Always,Always,Always,Always,Always,Always,D/A,08/02/2023 14:15
PHYS_68bd26c55254,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,08/02/2023 14:16
PHYS_3046138e37d2,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,We are lucky to have Dr Khoury on board and it is a great privilege to learn from his expertise.  ,08/02/2023 14:17
PHYS_c3c94ba18c88,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,,,,,,,,,,,D/A,08/02/2023 14:17
PHYS_dbfb1f920bb7,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,,Always,,,,,,,,,D/A,08/02/2023 14:17
PHYS_c095cef8c27f,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,Most of the time,Always,Always,Most of the time,Always,Always,Always,Always,Always,Always,D/A,08/02/2023 14:18
PHYS_1ebf0ed0a490,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,Most of the time,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,D/A,08/02/2023 14:19
PHYS_619b3b7381eb,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,Most of the time,Always,Always,Most of the time,Most of the time,Most of the time,Always,Always,Always,Always,D/A,08/02/2023 14:21
PHYS_71323b62398a,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,08/02/2023 14:21
PHYS_81fe7e66b681,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,,,,,,,,,,,D/A,08/02/2023 14:22
PHYS_3847a8e22a9f,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,,,Always,,Always,Always,Always,Always,Always,Always,D/A,08/02/2023 14:22
PHYS_5d72b8a63454,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,08/02/2023 14:22
PHYS_d8b8b891ffc9,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,08/02/2023 14:23
PHYS_7f419d915c8d,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,,,,,,,,,,,D/A,08/02/2023 14:23
PHYS_7f033bc1f792,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,08/02/2023 14:23
PHYS_08e98486b3ce,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,08/02/2023 14:23
PHYS_f86cd3aa057e,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,08/02/2023 14:23
PHYS_58f39c63da09,Medical Staff,PHYS_14ff9c1e321f,PHYS_37b850c13160,,,,,,,,,,,D/A,08/02/2023 14:24
PHYS_b9976f810e5d,Medical Staff,PHYS_790c6c17509d,PHYS_8edc2842a729,,,,,,Most of the time,Most of the time,,Most of the time,Most of the time,D/A,07/29/23 12:00 PM
PHYS_e8a101cecaa6,Medical Staff,PHYS_790c6c17509d,PHYS_8edc2842a729,,,,,Always,Always,Most of the time,,Most of the time,Most of the time,D/A,07/29/23 12:02 PM
PHYS_8cabd5ddd3a8,Medical Staff,PHYS_790c6c17509d,PHYS_8edc2842a729,,,,,Most of the time,Most of the time,Sometimes,,Most of the time,Most of the time,D/A,07/29/23 12:03 PM
PHYS_c367fab96ca6,Medical Staff,PHYS_790c6c17509d,PHYS_8edc2842a729,,,,,Always,Always,Most of the time,,Most of the time,Always,D/A,07/29/23 12:07 PM
PHYS_bd9d261c765d,Medical Staff,PHYS_6827a64eedea,PHYS_9b9a053cf844,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,A role model physician,07/21/23 05:29 PM
PHYS_645df9a1917f,Medical Staff,PHYS_6827a64eedea,PHYS_9b9a053cf844,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,A genius physician,07/21/23 05:31 PM
PHYS_14f9b9c484ab,Medical Staff,PHYS_6827a64eedea,PHYS_9b9a053cf844,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/21/23 05:32 PM
PHYS_d405cd7aa8ea,Medical Staff,PHYS_6827a64eedea,PHYS_9b9a053cf844,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,A physician with talented hands. ,07/21/23 05:33 PM
PHYS_b55c7f237e30,Medical Staff,PHYS_6827a64eedea,PHYS_9b9a053cf844,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Great knowledge and personality,07/21/23 05:34 PM
PHYS_d4c23ee697dc,Medical Staff,PHYS_6827a64eedea,PHYS_9b9a053cf844,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/21/23 05:35 PM
PHYS_2f693cd39f3a,Medical Staff,PHYS_6827a64eedea,PHYS_9b9a053cf844,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Great skills.
Enjoy teaching medical students, residents and fellows. ",07/21/23 05:37 PM
PHYS_727b93c1b6a7,Medical Staff,PHYS_6827a64eedea,PHYS_9b9a053cf844,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Respectful.
An excellent physician with a great knowledge.
",07/21/23 05:41 PM
PHYS_0c1628118176,Medical Staff,PHYS_6827a64eedea,PHYS_9b9a053cf844,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Respectful. 
Enthusiastic about physiology.
Loves to teach others. ",07/21/23 05:42 PM
PHYS_cba2ea3a0d88,Medical Staff,PHYS_6827a64eedea,PHYS_9b9a053cf844,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/21/23 05:43 PM
PHYS_7d4639603244,Medical Staff,PHYS_6827a64eedea,PHYS_9b9a053cf844,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Respectful.
Excellent knowledge.
Great physician. ",07/21/23 05:44 PM
PHYS_a54560881f80,Hospital Staff,PHYS_1b8fbc968e02,PHYS_b3591cd3dec7,Always,Always,Always,Always,Always,Most of the time,Always,Always,Always,Always,D/A,06/25/23 10:14 AM
PHYS_8577099393e3,Hospital Staff,PHYS_1b8fbc968e02,PHYS_b3591cd3dec7,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,Most of the time,D/A,06/25/23 10:15 AM
PHYS_8b430a0c69bc,Hospital Staff,PHYS_1b8fbc968e02,PHYS_b3591cd3dec7,Always,Always,Always,Always,Always,Most of the time,Most of the time,Always,Always,Always,D/A,06/25/23 10:18 AM
PHYS_8f940181e2b7,Hospital Staff,PHYS_1b8fbc968e02,PHYS_b3591cd3dec7,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/25/23 10:18 AM
PHYS_2cb7c4ef9c2d,Hospital Staff,PHYS_5f042c22d435,PHYS_05ffb156be18,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Dr Haddad is a professional vascular surgeon who works responsibly with all his patients, follows up well on them, respects all the staff, appreciates our work. I have been working with him for several years and I am impressed by his attitude and work. ",07/18/23 11:45 AM
PHYS_94bbf5d2e8eb,Hospital Staff,PHYS_5f042c22d435,PHYS_05ffb156be18,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Dr Hoballah is a highly professional vascular surgeon and chairman who works responsibly with all his patients, follows up well on them pre and post operatively, respects all the staff, appreciates our work. I have been working with him for several years and I am impressed by his attitude and work. ",07/18/23 11:47 AM
PHYS_56a6b961f2f5,Hospital Staff,PHYS_5f042c22d435,PHYS_05ffb156be18,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/18/23 11:47 AM
PHYS_4e77fb1f767d,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Always,Always,Always,Always,Always,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,D/A,06/27/23 01:11 AM
PHYS_e28930872332,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,D/A,07/08/2023 02:00
PHYS_37dfdb6f29eb,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Most of the time,Always,Most of the time,Always,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Always,D/A,07/08/2023 02:01
PHYS_6df779828f7b,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Most of the time,Always,Most of the time,Always,Most of the time,Most of the time,Always,Always,Most of the time,Most of the time,D/A,07/08/2023 02:03
PHYS_f5f4b850e183,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,D/A,07/08/2023 02:04
PHYS_a776330d6a32,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,D/A,07/08/2023 02:05
PHYS_16ccc93f11c4,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Most of the time,Always,Most of the time,Always,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,D/A,07/08/2023 02:06
PHYS_1fb96d137a2b,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Most of the time,Always,Most of the time,Always,Always,Always,Most of the time,Most of the time,Most of the time,Most of the time,D/A,07/08/2023 02:07
PHYS_40b714e94a50,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Most of the time,Most of the time,Always,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,D/A,07/08/2023 02:08
PHYS_d83d142152e6,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Most of the time,Most of the time,Most of the time,Most of the time,Always,Always,Most of the time,Most of the time,Most of the time,Most of the time,D/A,07/08/2023 02:09
PHYS_9ef5aa4833cc,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,D/A,07/08/2023 02:10
PHYS_51d276f5a8d3,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Always,Always,Most of the time,Most of the time,D/A,07/08/2023 02:11
PHYS_cea13f9cac15,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Most of the time,Always,Always,Most of the time,Most of the time,Always,Most of the time,Most of the time,Most of the time,Most of the time,D/A,07/08/2023 02:11
PHYS_4034a678d376,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Most of the time,Always,Most of the time,Most of the time,Always,Always,Most of the time,Most of the time,Most of the time,Most of the time,D/A,07/08/2023 02:12
PHYS_4aeacdb3a4a6,Hospital Staff,PHYS_fffed3946ccf,PHYS_391c47c7d4aa,Always,Always,Always,Most of the time,Always,Always,Most of the time,Most of the time,Most of the time,Most of the time,D/A,07/08/2023 02:13
PHYS_d96d1fbcd51c,Faculty Self-Evaluation,PHYS_d96d1fbcd51c,PHYS_d96d1fbcd51c,Always,Always,Always,Always,Always,Always,Most of the time,Most of the time,Most of the time,Always,D/A,07/25/23 12:27 PM
PHYS_78f68b679b71,Hospital Staff,PHYS_d7634ef86058,PHYS_a83aba1be418,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/15/23 12:18 PM
PHYS_b17c032f113b,Hospital Staff,PHYS_d7634ef86058,PHYS_a83aba1be418,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/15/23 12:19 PM
PHYS_c4247c7dc770,Hospital Staff,PHYS_d7634ef86058,PHYS_a83aba1be418,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/15/23 12:20 PM
PHYS_0e2a403e9a4c,Hospital Staff,PHYS_d7634ef86058,PHYS_a83aba1be418,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/15/23 12:20 PM
PHYS_43cdc67ea26f,Hospital Staff,PHYS_d7634ef86058,PHYS_a83aba1be418,Always,Always,Always,Always,Most of the time,Always,Always,Most of the time,Always,Always,D/A,06/15/23 12:22 PM
